Item Number,Item Name AR,Main Category,Price,Item Name,Description
1,عصير برتقال,Fresh Juices,342 SYP,Orange juice,"Freshly squeezed, vibrant orange juice bursting with natural citrus flavor and Vitamin C."
2,عصير اناناس,Fresh Juices,292 SYP,Pineapple juice,"A tropical and refreshing beverage made from ripe pineapples, offering a sweet and tangy flavor."
3,عصير فریز,Fresh Juices,292 SYP,Strawberry juice,Refreshing and sweet juice made from ripe strawberries.
4,عصير كيوي,Fresh Juices,292 SYP,Kiwi juice,"A refreshing, tangy juice made from fresh kiwis, packed with tropical flavor and vitamins."
5,عصير ليمون,Fresh Juices,292 SYP,Lemon juice,Refreshing and zesty freshly squeezed lemon juice.
6,عصير غريفون,Fresh Juices,292 SYP,Grapefruit juice,"A unique and refreshing local favorite, offering a crisp and revitalizing fruit flavor."
7,عصير رمان,Fresh Juices,310 SYP,Pomegranate juice,Refreshing and tart freshly squeezed juice made from antioxidant-rich pomegranates.
8,عصير دراق,Fresh Juices,292 SYP,Peach juice,"Sweet and velvety nectar made from sun-ripened peaches for a refreshing, summer-inspired treat."
9,عصير مانغو,Fresh Juices,342 SYP,Mango juice,"Rich, velvety, and naturally sweet, made from perfectly ripened tropical mangoes."
10,عصير بطيخ أحمر,Fresh Juices,292 SYP,Watermelon juice,"Refreshing and naturally sweet juice made from fresh, crisp watermelon."
11,اسبريسو,Hot Drink,187 SYP,Espresso,"A rich, concentrated shot of pure coffee with a bold aroma and velvety crema."
12,اسبريسو دبل,Hot Drink,207 SYP,Double espresso,A bold and intense double shot of rich espresso for a concentrated caffeine kick.
13,اسبريسو مع نسلة,Hot Drink,212 SYP,Espresso with Nestlé milk,"Bold espresso softened with sweet, creamy Nestlé milk."
14,ماكياتو,Hot Drink,202 SYP,Macchiato,Bold espresso topped with a delicate dollop of frothy milk foam.
15,اسبريسو موكا,Hot Drink,222 SYP,Espresso mocha,Rich espresso combined with smooth chocolate and steamed milk for a decadent treat.
16,اسبريسو افوكاتو,Hot Drink,232 SYP,Espresso avocado,Bold espresso poured over a scoop of creamy vanilla ice cream.
17,كافيه لاتيه,Hot Drink,242 SYP,Caffè latte,Smooth espresso balanced with silky steamed milk and a light layer of foam.
18,موكا لاتيه,Hot Drink,252 SYP,Mocha latte,"A creamy blend of rich espresso, steamed milk, and decadent chocolate."
19,كرميل لاتيه,Hot Drink,272 SYP,Caramel latte,"Smooth espresso and steamed milk infused with rich, buttery caramel syrup."
20,باونتي لاتيه,Hot Drink,267 SYP,Bounty latte,Creamy latte infused with tropical coconut and rich chocolate flavors.
21,كابوتشينو,Hot Drink,277 SYP,Cappuccino,Rich espresso balanced with silky steamed milk and a thick layer of airy foam.
22,موكاتشينو,Hot Drink,280 SYP,Mochaccino,"A rich blend of espresso, steamed milk, and chocolate topped with a light foam."
23,هوت شوكليت,Hot Drink,280 SYP,Hot chocolate,"Rich, creamy cocoa served warm for a comforting and indulgent treat."
24,جامايكان شوكليت,Hot Drink,277 SYP,Jamaican chocolate,"Rich, spiced cocoa with a hint of tropical warmth."
25,وايت شوكليت,Hot Drink,280 SYP,White chocolate,"A smooth and creamy hot beverage made with rich cocoa butter and sweet milk for a velvety, comforting treat."
26,نسكافيه بلاك,Hot Drink,185 SYP,Nescafe black,"A classic, bold, and invigorating cup of pure black coffee for a perfect caffeine kick."
27,نسكافيه بلاك مع حليب,Hot Drink,242 SYP,Nescafe black with milk,Bold and intense dark-roasted coffee balanced with a splash of creamy milk for a smooth finish.
28,نسكافيه دلغونا,Hot Drink,252 SYP,Nescafe Delagona,Creamy whipped coffee foam served over chilled or warm milk.
29,3 بـ 1 ظرفين,Hot Drink,257 SYP,3 for 1 (2 sachets),"Creamy, instant 3-in-1 coffee served with two sachets for extra strength and flavor."
30,شاي منكه,Hot Drink,185 SYP,Flavored tea,A selection of premium tea blends infused with aromatic fruit and herbal notes.
31,اعشاب ساخنة,Hot Drink,185 SYP,Hot herbal teas,"A soothing selection of aromatic herbs, steeped to perfection for a relaxing and caffeine-free experience."
32,قهوة شرقية,Hot Drink,185 SYP,Oriental coffee,"A rich, traditional brew with deep aromas and a smooth, bold finish."
33,قهوة شرقية دبل,Hot Drink,207 SYP,Double oriental coffee,"A bold, rich double-shot of traditional oriental coffee with deep aromatic notes."
34,3 ب 1 ظرف واحد,Hot Drink,220 SYP,3 for 1 (1 sachet),Convenient single-sachet instant coffee mix for a quick and classic pick-me-up.
35,أمريكانو,Hot Drink,217 SYP,Americano,"A classic, bold espresso lengthened with hot water for a smooth, rich finish."
36,سحلب شوكولا,Hot Drink,285 SYP,Chocolate sahlab,"Creamy, traditional orchid root pudding infused with rich chocolate for a warm, decadent treat."
37,سحلب,Hot Drink,255 SYP,Sahlab,"A traditional, warm Middle Eastern milk pudding topped with cinnamon and nuts."
38,اسبريسو دبل مع نسلة,Hot Drink,262 SYP,Double espresso with Nestlé milk,"Bold and intense double-shot espresso smoothed with creamy, sweet Nestlé milk."
39,1 ب 2,Hot Drink,202 SYP,1 for 2,"A versatile hot beverage offering a unique balance of flavors, perfect for sharing or a custom coffee experience."
